nom,canton,ville,annee_creation,effectif_estime,statut,cible,verticales,description_offre,degre_agenticite,stack_technique,modele_revenus,fourchette_prix,financement,clients_references,langues,hebergement_donnees,url,date_consultation,niveau_confiance
"nunu.ai (Generai, Inc.)",ZH,Zurich,2023,nd,startup,B2B,jeux vidéo (QA); applications mobiles; robotique; conformité,"Agents IA multimodaux qui utilisent applications et jeux comme un humain (écran, toucher, clavier) pour l'assurance qualité automatisée, avec adaptation autonome aux changements d'interface ; fondateurs issus de l'ETH Zurich, entité juridique principale américaine ; affiliée ETH AI Center",agents autonomes multi-étapes,"nd (infrastructure dédiée gérée, SOC 2 mentionné)",abonnement,non disponible publiquement,"8 M USD au total : pre-seed 2 M USD (a16z Games Speedrun, Y Combinator, Boost VC) puis seed 6 M USD en 2025 (a16z speedrun, TIRTA Ventures)",studios de jeux (Stormforge cité),EN,non précisé,https://nunu.ai/,2026-07-23,moyen
LogicStar AI,ZH,Zurich,2024,nd,startup,B2B,développement logiciel,"Agents IA de maintenance logicielle autonome (self-healing software) : détection et reproduction de bugs, triage, génération de pull requests validées avec tests et contrôle de régression ; benchmark SWT-Bench ; recherche publiée à NeurIPS 2024 et ICML 2025 ; spin-off de l'écosystème ETH Zurich/INSAIT (Prof. Martin Vechev)",agents autonomes multi-étapes,nd,abonnement,non disponible publiquement,"3 M USD pre-seed (février 2025, Northzone lead, business angels DeepMind, Snyk, Spotify)","LocalStack, Ledgy, GetYourGuide, Scalera, Benetics, Frec",EN,non précisé,https://www.logicstar.ai/,2026-07-23,élevé
BSI Business Systems Integration AG,AG,Baden,1996,[EST] plusieurs centaines,editeur,B2B,banque; assurance; retail; énergie et utilities,"BSI Customer Suite, plateforme CRM/CX AI by Design avec Customer Agents : système multi-agents (des centaines d'agents coopérants) automatisant ventes, service et marketing ; 70+ modèles IA intégrés ; acquisition de Sikom (contact center) en avril 2026",agents autonomes multi-étapes,nd,licence,non disponible publiquement,nd (société établie),"BLKB, Nürnberger Versicherung, Walbusch",DE; EN,non précisé,https://www.bsi-software.com/,2026-07-23,élevé
Wonderful AI,ZH,Zurich,2025,nd,filiale,B2B,service client multisectoriel,"Plateforme de création et gestion d'agents IA conversationnels (voix, chat, e-mail) multilingues, y compris suisse allemand, français, italien ; taux de résolution annoncé supérieur à 80 % sans intervention humaine ; siège européen à Zurich ouvert fin 2025, maison mère étrangère",agents autonomes multi-étapes,nd,abonnement,non disponible publiquement,34 M USD seed puis 100 M USD Series A (participation d'Index Ventures),nd (aucun client suisse cité),multilingue dont suisse allemand; FR; IT,non précisé,https://www.moneytoday.ch/news/wonderful-ai-startup-fuer-ki-agenten-eroeffnet-standort-in-zuerich,2026-07-23,moyen
ti&m AG,ZH,Zurich,2005,550+,ESN,B2B,banque; assurance; secteur public; industrie,"AI Agents Hub : agents IA sectoriels préconfigurés (Meeting Agent avec transcription du suisse allemand, Claim Management Agent assurance) en cycle raisonnement-action-observation ; AI Banking Assistant (chatbot e-banking), assistants type ChatGPT d'entreprise, développement IA sur mesure, label swiss made software +AI ; niveau autonome revendiqué, références de production non publiées",workflow automatisé,"stack open source privilégiée, LLM au choix du client, modèle de computer vision propriétaire, speech-to-text",licence; forfait projet,non disponible publiquement,nd (société établie),nd,DE; EN,"au choix du client (Azure, on-premise, développement et exploitation en Suisse possibles)",https://www.ti8m.com/en/products/AI-Agents-Hub,2026-07-23,élevé
Apptiva AG,LU,Lucerne,nd,nd,editeur,B2B,administration publique; santé; éducation; énergie,"Bubble Chat (plateforme suisse multi-agents de chatbots d'entreprise), développement d'agents IA sur mesure, intégration LLM sur données internes, automatisation (extraction de données, prévisions), intégrations ERP/CRM ; plus de 10 ans d'activité ; agents spécialisés dans un cadre contrôlé (Agent-Framework)",workflow automatisé,"nd (intégrations systèmes, LLM)",abonnement; forfait projet,non disponible publiquement,nd,"Canton de Berne, La Poste suisse, Suva, Luzerner Kantonsspital, Inselspital Bern, Energie 360°",DE,"Suisse (100 % Swiss Hosting, conformité nLPD)",https://apptiva.ch/,2026-07-23,élevé
NETNODE AG,LU,Lucerne,2003,nd,agence,B2B,PME; culture et musées; ONG et associations; administrations,"Stratégie IA, systèmes RAG sur données propriétaires, agents autonomes pour support, documentation et bases de connaissances, workflows agentiques avec garde-fous définis, codage assisté par IA",workflow automatisé,"Claude, GPT, Gemini, modèles open source privés possibles, approche neutre vis-à-vis des fournisseurs",forfait projet,pilote Agentic AI à partir de 20 000 CHF (6 à 12 semaines),nd,"BBA Magnete, Dynamo Buddy, ESG Regulations Navigator (UN Global Compact)",DE (EN partiel),"au choix du client (hébergement en Suisse en option, conformité LPD)",https://netnode.ch/de/ai-agentur,2026-07-23,élevé
CorpIn GmbH,SG,Saint-Gall,nd,nd,conseil,B2B,"PME multisectoriel (automobile, immobilier de vacances)","Agents IA autonomes pour l'automatisation de processus, systèmes multi-agents pour le service client, analyses de maturité IA (modèle Hexagon), conseil en transformation, IoT et data hubs ; spin-off de l'Université de Saint-Gall (HSG)",workflow automatisé,"LangChain, RAG, Google Gemini (multimodal)",forfait projet,non disponible publiquement (AI Maturity Score gratuit en entrée),nd,"Auto Lang AG, Holiday Home AG",DE; EN,non précisé,https://www.corpin.ch/,2026-07-23,élevé
Sidora AG,ZH,Winterthur,nd,nd,agence,B2B,fiduciaire/finance; industrie et machines; santé/pharma; juridique; e-commerce; éducation,"Agents multi-étapes sur mesure (pipelines), chatbots (web, intranet, MS Teams), automatisation de workflows (Make.com, n8n), RAG sur grandes documentations (50 000+ documents), analytics prédictif, classification de documents ; validation humaine conservée sur les processus critiques ; présences Zurich et Berne",workflow automatisé,"Claude, GPT, Mistral, Llama ; LangChain, LlamaIndex ; Qdrant, Pinecone ; n8n self-hosted, Make.com ; Microsoft Copilot",forfait projet,audit dès 1 800 CHF ; feuille de route dès 4 500 CHF ; projets de 4 500 à 30 000+ CHF ; ateliers dès 2 400 CHF,nd,"4 études de cas anonymisées (fiduciaire à Aarau, industriel, cabinet juridique zurichois, e-commerce)",DE; FR; EN,"au choix du client (serveurs suisses Zurich/Genève par défaut, options UE (Mistral) ou US sous contrats RGPD/LPD)",https://www.sidora.ch/de/ki-agentur-schweiz,2026-07-23,élevé
Kigent (Prozessionell GmbH),ZH,Dübendorf,nd,nd,agence,B2B,PME généralistes,"Construction et exploitation d'agents IA clé en main pour tâches réelles (réponse aux e-mails, vérification de factures), automatisation de processus, suivi continu ; se présente comme première agence suisse entièrement dédiée aux agents IA ; service géré",workflow automatisé,nd (allusions à OpenAI/ChatGPT),abonnement,non disponible publiquement,nd,témoignage d'une directrice d'agence marketing zurichoise,DE,non précisé (conformité protection des données revendiquée),https://kigent.ch/,2026-07-23,moyen
einclick,ZH,Zurich,nd,nd,agence,B2B,multisectoriel,"Agents IA (RAG, systèmes multi-agents, agents autonomes), automatisation de workflows, projets IA sur mesure, ateliers de formation, conseil stratégique",workflow automatisé,"n8n, Make.com, LLM non précisés",forfait projet,à partir de 2 490 CHF pour projets simples,nd,nd,DE,non précisé,https://www.einclick.ch/,2026-07-23,moyen
D4design Studios GmbH,ZH,Zurich,2007,nd,agence,B2B,e-commerce; services; santé; immobilier,"Agence digitale (web/design) avec offre IA : agents IA (traitement e-mails, données), chatbots 24/7, workflows automatisés (Zapier, Make), optimisation LLMO/AEO/SEO, contenus IA, vibe coding ; second site à Zoug",workflow automatisé,"OpenAI, Anthropic (Claude), Gemini, Midjourney, Cursor, Zapier, Make",forfait projet,consultation initiale gratuite ; projets typiquement à partir de 2 000 CHF,nd,nd,DE,non précisé,https://d4design.ch/services/ki-agentur/,2026-07-23,moyen
the aigency,nd,nd,nd,3 (équipe coeur) + réseau de 40 experts,agence,B2B,ingénierie; construction; digitalisation PME; associations professionnelles,"Agents et systèmes multi-agents, automatisation de workflows (e-mail, agenda, meetings, CRM), plateforme Helvetiq OS, sites web natifs IA (qualification de leads) ; modèle hybride : approbation humaine par défaut sur les actions d'écriture ; réseau lié à Gnocchi & Friends, Suisse alémanique",workflow automatisé,nd (comparaisons avec n8n et Make),forfait projet; abonnement,Website Sprint à partir de 3 900 CHF ; tarifs Helvetiq OS non disponibles publiquement,nd,"HES-SO Valais, Université de Saint-Gall (HSG), IWF AG, suisse.ing, Digital-World, Unique Construct",DE; EN,"Suisse (serveurs Infomaniak Zurich, base dédiée par client, option on-premise)",https://theaigency.ch/,2026-07-23,moyen
apexAI (Elevate Solutions GmbH),nd,nd,nd,nd,agence,B2B,services de nettoyage; hôtellerie; e-commerce; agences; IT; conseil; fiduciaire,"Agents IA et chatbots, automatisation de processus, logiciels IA sur mesure, produits propres (apexTranscribe, apexAcquire, Swiss Knowledge Hub), ateliers ; 3 cofondateurs ; région de Berne supposée mais non confirmée",workflow automatisé,nd,abonnement; forfait projet,moins de 1 000 CHF par année pour certaines solutions standard,nd,"une quinzaine de clients nommés dont Keystone SDA, Naturkostbar AG, kingnature AG, CERUNIQ",DE,"UE (hébergement européen, conformité LPD, pas de serveurs US par défaut)",https://apex-ai.ch/,2026-07-23,moyen
Huber Solution GmbH,TG,Egnach,nd,nd,agence,B2B,immobilier; services de proximité; santé; support IT; administrations,"Assistants téléphoniques IA (agents vocaux) 24/7 pour PME de Suisse orientale : réponse aux questions récurrentes, qualification de leads, prise de rendez-vous, transfert structuré vers des humains ; dialecte alémanique mis en avant",workflow automatisé,nd,abonnement; à l'usage,"164,90 CHF/mois (100 minutes incluses) + 0,39 CHF/minute, tarifs dégressifs",nd,nd (avis Google mentionnés),DE (dialecte alémanique),"Suisse (infrastructure cloud, conformité nLPD)",https://h-solution.ch/ki-assistenten-ostschweiz/,2026-07-23,moyen
ASIMBA LABS,BE,Berne,nd,nd,agence,B2B,multisectoriel,Agence digitale full-service avec offre IA : automatisation intelligente de processus et workflows IA sur mesure ; site peu documenté lors de la consultation,workflow automatisé,nd,forfait projet,non disponible publiquement,nd,nd,DE,non précisé,https://www.asimba.ch/,2026-07-23,faible
Visium SA,VD,Lausanne,2018,[EST] 100 (dont 40+ ingénieurs annoncés),conseil,B2B,pharma et sciences de la vie; finance; industrie manufacturière; retail; chimie,"Conseil en IA avec plateforme propriétaire : Agentic AI Platform et Visium Labs (sciences de la vie : architecture multi-agents rédigeant des soumissions réglementaires, revue de claims, exploitation des SOP, intégrée à Veeva et Salesforce), systèmes RAG, ML en production, MLOps ; EPFL Innovation Park, bureau à Zurich ; distinction Financial Times 2023",agents autonomes multi-étapes,"Azure, GCP, AWS, Databricks, Palantir, Python ; intégrations Veeva, Salesforce",forfait projet; abonnement,non disponible publiquement,non divulgué ; première levée institutionnelle récente (montant nd),"Tetra Pak, Contovista, Swisstopo, CIM Bank, dsm-firmenich, Mettler Toledo",EN,au choix du client (multi-cloud),https://www.visium.com/,2026-07-23,élevé
inait SA,VD,Lausanne,nd,nd,startup,B2B,finance; robotique,"IA à intelligence adaptative inspirée du cerveau (inait Adaptive Machines, Digital Brain) : IA causale et apprentissage par renforcement, approche propriétaire distincte des agents LLM ; partenariat avec Microsoft ; fondateur Henry Markram (neurosciences, EPFL)",infrastructure,"technologie propriétaire, non détaillée publiquement",licence,non disponible publiquement,"nd (solide soutien financier revendiqué, montants non divulgués)",Microsoft (partenaire),EN,non précisé,https://www.inait.ai/,2026-07-23,moyen
ELCA Informatique SA,VD,Lausanne,nd,[EST] 2000+ (groupe),ESN,B2B,banque et services financiers; assurance; prévoyance; secteur public; événementiel; hospitality,"Grand intégrateur IT suisse (50+ ans) : Agentic Engineering Unit combinant IA avancée et ingénierie logicielle augmentée par agents, solutions digitales intelligentes, cloud souverain suisse (ELCA Cloud Services) ; ELCA Advisory sur la transformation IA",workflow automatisé,"Microsoft Azure Local, Microsoft 365 Local (cloud souverain opéré localement)",forfait projet; régie-TJM,non disponible publiquement,nd (société établie),"Piguet Galland, cabanes du Club Alpin Suisse, Eurovision Song Contest 2025",FR; DE; EN,Suisse (cloud souverain opéré en Suisse),https://www.elca.ch/en,2026-07-23,élevé
Unit8 SA,VD,Lausanne,2017,150+,conseil,B2B,chimie; pharma; banque/finance; assurance; industrie; énergie; logistique; retail; automobile,"Conseil data et IA (250+ projets livrés) : workflows agentiques d'entreprise (série From Hype to Impact), GenAI, MLOps, partenariat de services officiel avec OpenAI, services Palantir Foundry, plateforme open source de prévision Darts ; bureaux Lausanne, Zurich, Berne et à l'étranger",workflow automatisé,"OpenAI, Palantir, NVIDIA, AWS, Microsoft, Snowflake, Databricks",forfait projet; régie-TJM,non disponible publiquement,non divulgué,"Merck, Swiss Re, Daimler, Firmenich, Helvetia, Tecan, Julius Baer, Weleda, CHUV",EN; FR; DE,selon le cloud du client,https://unit8.com/,2026-07-23,élevé
Effixis SA (Artefact Suisse),VD,Lausanne,2017,nd,filiale,B2B,luxe; banque/assurance; santé,"Conseil IA/LLM issu de l'écosystème EPFL, racheté par le groupe français Artefact (bureau suisse) : stratégie data et IA, développement sur mesure, expertise NLP/LLM, formation au prompt engineering ; offre spécifiquement agentique non documentée publiquement",RAG,"LLM/NLP, collaboration technique avec l'EPFL",forfait projet; régie-TJM,non disponible publiquement,rachat par Artefact (montant non divulgué),nd,FR; EN,non précisé,https://www.artefact.com/news/artefact-announces-acquisition-of-effixis-to-enhance-ai-consulting-services-and-generative-ai-capabilities/,2026-07-23,moyen
HeyPapaya,VD,Lausanne,nd,nd,agence,B2B,banque privée et gestion de fortune; trading et matières premières; horlogerie et luxe; organisations internationales et ONG; juridique; conseil; relocation,"Chatbots IA (qualification, réservation), agents vocaux IA 24/7, automatisation IA (devis, factures, reporting), stratégie et adoption IA ; déploiement annoncé en 2 à 4 semaines ; rayonnement Genève, Fribourg, Valais",workflow automatisé,nd,forfait projet; abonnement,non disponible publiquement,nd,nd,FR; EN; DE; IT,"Suisse ou UE par défaut (DPA, conformité nLPD et RGPD)",https://www.heypapaya.ch/en/ai-agency-geneva/,2026-07-23,élevé
AVQN,VD,Lausanne,nd,[EST] 1,conseil,B2B,fiduciaire; vétérinaire; secteur public; technologie,"Consultant IA indépendant : agents IA et systèmes agentiques, outils sur mesure développés avec Claude Code, workflows n8n, audit stratégique et cartographie ROI, formations (bootcamp, coaching)",workflow automatisé,"n8n, Claude Code, API et intégrations web",régie-TJM; forfait projet,non disponible publiquement (audit offert),nd,"IMD Lausanne, BCV, GenevaLive, Liip, HES-SO, Ville de Lausanne, Groupe Vetmint",FR,non précisé,https://www.avqn.ch/services/,2026-07-23,élevé
NeurokAI,VD,Lausanne,nd,nd,agence,B2B,droit; industrie; santé; conseil; horlogerie,"Agents conversationnels et chatbots connectés aux données (RAG, CAG, bases de connaissances), automatisation par LLM (documents, e-mails, rapports, workflows), applications IA clé en main, fine-tuning, intégrations ERP/CRM/e-commerce, MLOps, IA souveraine on-premise et air-gapped, conseil et formation",workflow automatisé,"ChatGPT, Claude, Gemini, Copilot ; open source : DeepSeek, Mistral, Qwen, Llama",forfait projet,non disponible publiquement (audit gratuit d'entrée),nd,"cas anonymisés (cabinet juridique, PME industrielle, santé, horlogerie)",FR; EN,"Suisse (Suisse romande, on-premise ou datacenter partenaire)",https://neurok.ai/,2026-07-23,élevé
OGFactory,VD,Ecublens,nd,nd,agence,B2B,bâtiment et artisans; praticiens de santé; PME généralistes,"Chatbots et agents conversationnels, automatisation de workflows (500+ intégrations via n8n), traitement documentaire IA (OCR, extraction, classification), analyse de données et tableaux de bord prédictifs, intégration CRM/ERP, formation ; promesse prototype fonctionnel en 30 jours ou offert",workflow automatisé,"Claude, OpenAI, Mistral AI, Ollama (déploiement local), n8n, Supabase, Airtable, Google Cloud, Stripe",forfait projet,diagnostic 390 CHF (secteur construction) ; projets sur devis,nd,témoignages anonymisés,FR,Suisse possible (option de déploiement local),https://ogfactory.ch/,2026-07-23,élevé
Fusengine,VD,Vevey,nd,nd,agence,B2B,juridique; médical; fiduciaire; industrie; hôtellerie; commerce,"Agents IA et chatbots (support client 24/7, assistants internes), automatisation de processus (devis, factures, relances), RAG sur base documentaire, formation IA (ChatGPT, Copilot, Claude), solutions souveraines ; zones couvertes de Genève à Neuchâtel",workflow automatisé,nd,forfait projet,non disponible publiquement (audit initial gratuit),nd,nd,FR (DE et EN évoqués),"Suisse (infrastructure suisse, option auto-hébergée, conformité nLPD)",https://fusengine.ch/solutions/services-ia/,2026-07-23,élevé
Mivelaz Consulting,VD,Lonay,nd,[EST] 1,conseil,B2B,fiduciaires et experts-comptables; cabinets d'avocats; cabinets médicaux; agences immobilières,"Assistants IA et chatbots personnalisés, traitement intelligent de documents (OCR + IA), analyse prédictive et dashboards, génération de contenu ; intervient dans les cantons de Vaud, Genève, Neuchâtel, Valais, Fribourg et Jura",workflow automatisé,"Claude, GPT, Gemini, n8n, Make, Zapier ; intégrations Bexio, Abacus, Microsoft 365",forfait projet,1 500 à 15 000 CHF par projet,nd,plus de 50 clients accompagnés (chiffre déclaratif),FR,"Suisse (conformité nLPD/RGPD, modèles locaux pour données sensibles)",https://mivelaz-consulting.ch/services/intelligence-artificielle-pme-suisse,2026-07-23,élevé
Agence iA,VD,Lausanne,nd,nd,agence,B2B,construction et second oeuvre; commerce de détail; immobilier; fiduciaire; centres de formation; juridique,"Tri intelligent des e-mails, dictée vocale et génération d'offres, pré-traitement de factures fournisseurs, formations IA, intégration et diagnostic ; pas d'agents autonomes revendiqués",workflow automatisé,nd,forfait projet,non disponible publiquement (évaluation gratuite d'entrée),nd,"Canton de Vaud, HEFP, Coop, Menuiserie Roth, Own Concept",FR,non précisé (conformité RGPD et LPD revendiquée),https://agenceia.ch/,2026-07-23,moyen
Sonar (SonarSource SA),GE,Genève,2008,nd,editeur,B2B,développement logiciel (tous secteurs),"SonarQube (Cloud, Server, IDE) et gamme agentique : acquisition d'AutoCodeRover (agents IA autonomes de debug, remédiation d'issues, refactoring), agents Sonar Vortex et Remediation Agent, SonarSweep, MCP Server ; licorne genevoise, 7M+ développeurs utilisateurs",agents autonomes multi-étapes,"LLM-agnostique (OpenAI, Anthropic, Google, Meta), MCP",licence; abonnement,non disponible publiquement,"levées importantes selon la presse (statut de licorne), montants non vérifiés","communauté massive de développeurs (750 milliards de lignes de code analysées par jour, métrique déclarative)",EN,au choix du client (SaaS cloud ou on-premise),https://www.sonarsource.com/,2026-07-23,élevé
DKDP,GE,Genève,nd,[EST] 2,agence,B2B,immobilier; RH; e-commerce; tous secteurs,"Agents IA sur mesure (service client, analyse de données), chatbots IA 24/7 (qualification de leads, prise de rendez-vous), automatisation de workflows no-code (CRM, e-mail, ERP), audit et conseil IA, intégration de LLM ; opère dans toute la Suisse romande",workflow automatisé,"ChatGPT, Claude, Gemini, Copilot, Perplexity, Midjourney, DeepSeek, Grok, Meta AI",forfait projet,6 500 à 11 000 CHF par projet type,nd,"SwissLife, Fondation Hans Wilsdorf, Howden, Eli Lilly, World Economic Forum, Servette FC ; 700+ entreprises accompagnées (déclaratif, ensemble des activités)",FR,Suisse ou UE (hébergement local ou cloud privé possible),https://dkdp.ch/intelligence-artificielle,2026-07-23,élevé
i-fixit,GE,Genève,nd,[EST] 1,agence,B2B,fiduciaires et comptabilité; PME généralistes,"Copilotes métier, agents IA d'entreprise, assistants sur données propriétaires, automatisation de tâches répétitives, du prototype à la production (démarche en trois phases) ; actif à Genève et Lausanne",workflow automatisé,nd,forfait projet,non disponible publiquement,nd,nd,FR,Suisse (données hébergées et souveraines),https://i-fixit.ch/,2026-07-23,moyen
Voixia (KeWeb Sàrl),VS,Sion,nd,nd,agence,B2B,restaurants; garages; cabinets médicaux; avocats; immobilier; artisans,"Agents IA téléphoniques (réception d'appels, qualification, prise de rendez-vous, transferts intelligents, résumés d'appels), chatbot IA pour sites web, intégrations CRM et agendas ; produit SaaS édité par l'agence web valaisanne KeWeb ; couvre toute la Suisse",workflow automatisé,nd,abonnement,non disponible publiquement,nd,nd,FR; DE; IT; EN (agents multilingues),non précisé,https://voixia.ch/,2026-07-23,élevé
